League,Player Link,Player,Position,Date of Birth,Country,Join,Contract,Market Value,Club,Club Link,Season
Süper Lig,https://www.transfermarkt.co.uk/altay-bayindir/profil/spieler/336077,Altay Bayindir,Goalkeeper,"Apr 14, 1998 (24)",Turkey,"Jul 10, 2019","Jun 30, 2027",€16.00m,Fenerbahce,https://www.transfermarkt.co.uk/fenerbahce-istanbul/startseite/verein/36/saison_id/2021,https://www.transfermarkt.co.uk/super-lig/startseite/wettbewerb/TR1/plus/?saison_id=2021
Süper Lig,https://www.transfermarkt.co.uk/berke-ozer/profil/spieler/361256,Berke Özer,Goalkeeper,"May 25, 2000 (22)",Turkey,"Jul 11, 2018","Jun 30, 2023",€3.50m,Fenerbahce,https://www.transfermarkt.co.uk/fenerbahce-istanbul/startseite/verein/36/saison_id/2021,https://www.transfermarkt.co.uk/super-lig/startseite/wettbewerb/TR1/plus/?saison_id=2021
Süper Lig,https://www.transfermarkt.co.uk/bartu-kulbilge/profil/spieler/839652,Bartu Kulbilge,Goalkeeper,"Jun 21, 2003 (19)",Turkey,"Jul 1, 2021","Jun 30, 2024",€150k,Fenerbahce,https://www.transfermarkt.co.uk/fenerbahce-istanbul/startseite/verein/36/saison_id/2021,https://www.transfermarkt.co.uk/super-lig/startseite/wettbewerb/TR1/plus/?saison_id=2021
Süper Lig,https://www.transfermarkt.co.uk/ertugrul-cetin/profil/spieler/654049,Ertugrul Cetin,Goalkeeper,"Apr 21, 2003 (19)",Turkey,"Apr 1, 2021","Jun 30, 2024",€75k,Fenerbahce,https://www.transfermarkt.co.uk/fenerbahce-istanbul/startseite/verein/36/saison_id/2021,https://www.transfermarkt.co.uk/super-lig/startseite/wettbewerb/TR1/plus/?saison_id=2021
Süper Lig,https://www.transfermarkt.co.uk/furkan-onur-akyuz/profil/spieler/955382,Furkan Onur Akyüz,Goalkeeper,"Sep 21, 2005 (16)",Turkey,-,-,-,Fenerbahce,https://www.transfermarkt.co.uk/fenerbahce-istanbul/startseite/verein/36/saison_id/2021,https://www.transfermarkt.co.uk/super-lig/startseite/wettbewerb/TR1/plus/?saison_id=2021
Süper Lig,https://www.transfermarkt.co.uk/min-jae-kim/profil/spieler/503482,Min-jae Kim,Centre-Back,"Nov 15, 1996 (25)","Korea, South","Aug 16, 2021","Jun 30, 2025",€14.00m,Fenerbahce,https://www.transfermarkt.co.uk/fenerbahce-istanbul/startseite/verein/36/saison_id/2021,https://www.transfermarkt.co.uk/super-lig/startseite/wettbewerb/TR1/plus/?saison_id=2021
Süper Lig,https://www.transfermarkt.co.uk/attila-szalai/profil/spieler/263380,Attila Szalai,Centre-Back,"Jan 20, 1998 (24)",Hungary,"Jan 18, 2021","Jun 30, 2025",€12.00m,Fenerbahce,https://www.transfermarkt.co.uk/fenerbahce-istanbul/startseite/verein/36/saison_id/2021,https://www.transfermarkt.co.uk/super-lig/startseite/wettbewerb/TR1/plus/?saison_id=2021
Süper Lig,https://www.transfermarkt.co.uk/marcel-tisserand/profil/spieler/170463,Marcel Tisserand,Centre-Back,"Jan 10, 1993 (29)",DR Congo,"Sep 15, 2020","Jun 30, 2025",€2.80m,Fenerbahce,https://www.transfermarkt.co.uk/fenerbahce-istanbul/startseite/verein/36/saison_id/2021,https://www.transfermarkt.co.uk/super-lig/startseite/wettbewerb/TR1/plus/?saison_id=2021
Süper Lig,https://www.transfermarkt.co.uk/serdar-aziz/profil/spieler/44996,Serdar Aziz,Centre-Back,"Oct 23, 1990 (31)",Turkey,"Jan 31, 2019","Jun 30, 2025",€2.50m,Fenerbahce,https://www.transfermarkt.co.uk/fenerbahce-istanbul/startseite/verein/36/saison_id/2021,https://www.transfermarkt.co.uk/super-lig/startseite/wettbewerb/TR1/plus/?saison_id=2021
Süper Lig,https://www.transfermarkt.co.uk/steven-caulker/profil/spieler/121280,Steven Caulker,Centre-Back,"Dec 29, 1991 (30)",Sierra Leone,"Jul 1, 2021","Jun 30, 2023",€2.00m,Fenerbahce,https://www.transfermarkt.co.uk/fenerbahce-istanbul/startseite/verein/36/saison_id/2021,https://www.transfermarkt.co.uk/super-lig/startseite/wettbewerb/TR1/plus/?saison_id=2021
